trip_id,vehicle_id,start_time,end_time,start_hour,day_of_week,is_weekend,speed_mean,speed_std,idle_time_s,idle_ratio,total_km,stop_count,is_anomaly
V0_T0047,0,2024-01-12 11:19:10,2024-01-12 11:19:28,11,4,0,0.0,0.0,201.0,11.1667,0.0,0,0
V0_T0048,0,2024-01-12 11:20:06,2024-01-12 11:20:07,11,4,0,0.0,0.0,38.0,38.0,0.0,0,0
V0_T0049,0,2024-01-12 11:20:56,2024-01-12 11:22:55,11,4,0,0.62,1.0681,49.0,0.4118,0.051,1,0
V0_T0050,0,2024-01-12 11:30:49,2024-01-12 11:30:52,11,4,0,0.0,0.0,475.0,158.3333,0.0,0,0
V0_T0051,0,2024-01-12 11:31:38,2024-01-12 11:32:59,11,4,0,0.46,0.925,59.0,0.7284,0.051,1,0
V0_T0052,0,2024-01-12 14:37:04,2024-01-12 14:37:08,14,4,0,0.0,0.0,24.0,6.0,0.0,0,0
V0_T0053,0,2024-01-12 14:37:10,2024-01-12 14:48:34,14,4,0,14.71,11.6635,95.0,0.1389,2.769,1,0
V0_T0054,0,2024-01-12 14:51:43,2024-01-12 15:15:39,14,4,0,20.92,15.8084,496.0,0.3454,9.199,5,0
V0_T0055,0,2024-01-12 15:46:10,2024-01-12 16:01:20,15,4,0,19.89,15.0684,1894.0,2.0813,5.381,2,0
V0_T0056,0,2024-01-13 08:24:48,2024-01-13 08:25:47,8,5,1,0.0,0.0,240.0,4.0678,0.049,0,0
V0_T0057,0,2024-01-13 09:34:55,2024-01-13 09:46:44,9,5,1,8.63,11.3755,878.0,1.2384,1.641,2,0
V0_T0058,0,2024-01-13 09:47:30,2024-01-13 09:47:39,9,5,1,0.0,0.0,46.0,5.1111,0.0,0,0
V0_T0059,0,2024-01-13 09:48:23,2024-01-13 09:49:43,9,5,1,0.0,0.0,114.0,1.425,0.0,0,0
V0_T0060,0,2024-01-13 09:52:15,2024-01-13 09:53:49,9,5,1,7.77,7.5601,152.0,1.617,0.269,1,0
V0_T0061,0,2024-01-13 10:08:04,2024-01-13 10:09:51,10,5,1,7.03,6.4618,855.0,7.9907,0.26,1,0
V0_T0062,0,2024-01-13 11:45:05,2024-01-13 11:47:01,11,5,1,7.77,7.093,2083.0,17.9569,0.25,1,0
V0_T0063,0,2024-01-13 11:53:33,2024-01-13 11:55:20,11,5,1,6.29,5.7914,392.0,3.6636,0.209,1,0
V0_T0064,0,2024-01-13 12:44:42,2024-01-13 13:02:13,12,5,1,18.08,14.3754,3207.0,3.0514,6.362,2,0
V0_T0065,0,2024-01-15 16:03:25,2024-01-15 16:04:08,16,0,0,0.62,1.0681,3555.0,82.6744,0.0,0,0
V0_T0066,0,2024-01-15 16:32:10,2024-01-15 16:32:32,16,0,0,0.92,1.3081,1682.0,76.4545,0.0,0,0
V0_T0067,0,2024-01-16 08:43:46,2024-01-16 08:58:35,8,1,0,15.12,13.1603,3402.0,3.8268,3.718,2,0
V0_T0068,0,2024-01-16 08:59:36,2024-01-16 09:15:13,8,1,0,24.13,18.6297,247.0,0.2636,6.932,4,0
V0_T0069,0,2024-01-16 09:22:45,2024-01-16 09:30:35,9,1,0,13.35,11.8609,636.0,1.3532,1.719,1,0
V0_T0070,0,2024-01-16 11:13:08,2024-01-16 11:16:10,11,1,0,0.46,0.925,2579.0,14.1703,0.14,1,0
V0_T0071,0,2024-01-16 11:24:44,2024-01-16 11:26:28,11,1,0,0.0,0.0,576.0,5.5385,0.0,0,0
V0_T0072,0,2024-01-16 14:13:32,2024-01-16 14:14:31,14,1,0,0.0,0.0,2715.0,46.0169,0.0,0,0
V0_T0073,0,2024-01-16 14:27:38,2024-01-16 14:48:30,14,1,0,19.12,16.1522,804.0,0.6422,7.28,7,0
V0_T0074,0,2024-01-16 15:13:39,2024-01-16 15:29:13,15,1,0,24.9,17.8947,1631.0,1.7463,7.14,3,0
V0_T0075,0,2024-01-16 15:29:48,2024-01-16 15:30:13,15,1,0,1.23,2.1362,35.0,1.4,0.0,1,0
V0_T0076,0,2024-01-16 15:31:58,2024-01-16 15:35:52,15,1,0,23.04,17.7516,106.0,0.453,2.09,1,0
V0_T0077,0,2024-01-16 15:45:07,2024-01-16 15:46:08,15,1,0,0.0,0.0,555.0,9.0984,0.0,0,0
V0_T0078,0,2024-01-16 16:17:58,2024-01-16 16:18:09,16,1,0,0.0,0.0,905.0,82.2727,0.0,0,0
V0_T0079,0,2024-01-16 18:19:11,2024-01-16 18:45:42,18,1,0,17.76,13.7474,3903.0,2.4532,7.291,4,0
V0_T0080,0,2024-01-17 08:29:11,2024-01-17 08:48:20,8,2,0,0.0,0.0,2778.0,2.4178,0.0,0,0
V0_T0081,0,2024-01-17 09:38:02,2024-01-17 09:42:47,9,2,0,19.89,15.7398,150.0,0.5263,2.461,1,0
V0_T0082,0,2024-01-17 09:48:23,2024-01-17 09:59:48,9,2,0,8.32,13.8441,768.0,1.1212,1.779,2,0
V0_T0083,0,2024-01-17 10:04:47,2024-01-17 10:25:25,10,2,0,0.0,0.0,1529.0,1.2351,0.071,0,0
V0_T0084,0,2024-01-17 10:38:39,2024-01-17 10:41:42,10,2,0,0.0,0.0,918.0,5.0164,0.0,0,0
V0_T0085,0,2024-01-17 11:00:23,2024-01-17 11:09:55,11,2,0,10.64,12.665,459.0,0.8024,1.84,2,0
V0_T0086,0,2024-01-17 11:23:23,2024-01-17 11:24:40,11,2,0,0.0,0.0,870.0,11.2987,0.058,0,0
V0_T0087,0,2024-01-17 13:19:28,2024-01-17 13:20:11,13,2,0,0.0,0.0,3228.0,75.0698,0.0,0,0
V0_T0088,0,2024-01-17 13:46:05,2024-01-17 13:46:26,13,2,0,0.0,0.0,1555.0,74.0476,0.0,0,0
V0_T0089,0,2024-01-17 15:50:57,2024-01-17 15:51:55,15,2,0,0.0,0.0,139.0,2.3966,0.0,0,0
V0_T0090,0,2024-01-17 16:01:26,2024-01-17 16:05:54,16,2,0,0.0,0.0,818.0,3.0522,0.0,0,0
V0_T0091,0,2024-01-17 18:50:32,2024-01-17 19:09:26,18,2,0,15.37,12.2924,2792.0,2.4621,5.102,4,0
V0_T0092,0,2024-01-18 08:20:30,2024-01-18 08:21:39,8,3,0,0.0,0.0,3434.0,49.7681,0.0,0,0
V0_T0093,0,2024-01-18 08:21:46,2024-01-18 08:22:07,8,3,0,0.0,0.0,7.0,0.3333,0.0,0,0
V0_T0094,0,2024-01-18 09:15:26,2024-01-18 09:30:38,9,3,0,18.56,15.5686,2534.0,2.7785,4.379,3,0
V0_T0095,0,2024-01-18 09:34:25,2024-01-18 09:39:19,9,3,0,21.77,18.9291,289.0,0.983,2.099,1,0
V0_T0096,0,2024-01-18 09:49:51,2024-01-18 10:08:26,9,3,0,19.67,13.4857,973.0,0.8726,7.481,6,0
V0_T0097,0,2024-01-18 10:24:10,2024-01-18 10:38:39,10,3,0,21.18,14.2667,1128.0,1.298,6.0,2,0
V0_T0098,0,2024-01-18 12:51:06,2024-01-18 13:06:15,12,3,0,22.54,17.4154,912.0,1.0033,5.91,3,0
V0_T0099,0,2024-01-18 14:01:06,2024-01-18 14:15:00,14,3,0,22.44,16.1501,3408.0,4.0863,5.939,3,0
V0_T0100,0,2024-01-18 14:25:19,2024-01-18 14:29:43,14,3,0,13.62,9.5153,619.0,2.3447,1.272,1,0
V0_T0101,0,2024-01-18 14:32:36,2024-01-18 14:38:51,14,3,0,13.53,11.7339,376.0,1.0027,0.978,1,0
V0_T0102,0,2024-01-18 14:42:00,2024-01-18 14:46:51,14,3,0,0.0,0.0,472.0,1.622,0.0,0,0
V0_T0103,0,2024-01-18 14:48:16,2024-01-18 14:50:08,14,3,0,0.46,0.925,86.0,0.7679,0.08,1,0
V0_T0104,0,2024-01-18 16:10:50,2024-01-18 16:30:27,16,3,0,20.68,13.6665,1253.0,1.0646,8.202,2,0
V0_T0105,0,2024-01-18 16:41:40,2024-01-18 16:50:59,16,3,0,19.15,12.1724,673.0,1.2039,3.759,1,0
V0_T0106,0,2024-01-18 16:54:25,2024-01-18 16:54:27,16,3,0,0.0,0.0,206.0,103.0,0.0,0,0
V0_T0107,0,2024-01-18 16:56:49,2024-01-18 16:58:50,16,3,0,1.23,2.1362,142.0,1.1736,0.11,1,0
V0_T0108,0,2024-01-18 17:26:38,2024-01-18 17:27:00,17,3,0,0.0,0.0,1668.0,75.8182,0.0,0,0
V0_T0109,0,2024-01-18 18:13:32,2024-01-18 18:16:11,18,3,0,0.0,0.0,2915.0,18.3333,0.0,0,0
V0_T0110,0,2024-01-19 09:47:45,2024-01-19 10:00:45,9,4,0,15.89,14.3034,418.0,0.5359,3.189,2,0
V0_T0111,0,2024-01-19 11:04:16,2024-01-19 11:07:19,11,4,0,0.46,0.925,239.0,1.306,0.0,1,0
V0_T0112,0,2024-01-19 11:07:25,2024-01-19 11:07:36,11,4,0,0.0,0.0,6.0,0.5455,0.0,0,0
V0_T0113,0,2024-01-19 12:36:17,2024-01-19 12:48:09,12,4,0,26.7,17.6728,1747.0,2.4537,5.942,2,0
V0_T0114,0,2024-01-19 12:54:46,2024-01-19 13:00:36,12,4,0,27.52,18.7192,458.0,1.3086,2.709,1,0
V0_T0115,0,2024-01-19 13:02:04,2024-01-19 13:08:27,13,4,0,28.26,21.6472,146.0,0.3812,3.41,1,0
V0_T0116,0,2024-01-19 14:26:03,2024-01-19 14:32:50,14,4,0,21.63,18.2577,1056.0,2.5946,3.18,1,0
V0_T0117,0,2024-01-19 14:36:07,2024-01-19 14:51:20,14,4,0,18.91,17.0046,496.0,0.5433,4.689,4,0
V0_T0118,0,2024-01-19 15:31:57,2024-01-19 15:32:40,15,4,0,0.0,0.0,2438.0,56.6977,0.0,0,0
V0_T0119,0,2024-01-19 15:41:14,2024-01-19 15:43:39,15,4,0,0.46,0.925,575.0,3.9655,0.0,1,0
V0_T0120,0,2024-01-19 17:39:28,2024-01-19 17:43:19,17,4,0,10.31,10.5118,341.0,1.4762,0.478,1,0
V0_T0121,0,2024-01-19 17:49:35,2024-01-19 18:05:01,17,4,0,22.38,17.3569,637.0,0.6879,5.692,4,0
V0_T0122,0,2024-01-19 18:05:02,2024-01-19 18:05:09,18,4,0,0.0,0.0,1.0,0.1429,0.0,0,0
V0_T0123,0,2024-01-20 08:36:46,2024-01-20 08:56:27,8,5,1,19.75,17.488,1345.0,1.1389,6.179,2,0
V0_T0124,0,2024-01-20 09:02:13,2024-01-20 09:14:42,9,5,1,11.84,14.0431,727.0,0.9706,3.27,3,0
V0_T0125,0,2024-01-20 09:48:54,2024-01-20 09:49:40,9,5,1,0.0,0.0,1079.0,23.4565,0.0,0,0
V0_T0126,0,2024-01-20 09:58:05,2024-01-20 10:00:29,9,5,1,0.74,1.6547,567.0,3.9375,0.0,1,0
V0_T0127,0,2024-01-20 10:18:02,2024-01-20 10:48:35,10,5,1,15.07,13.1113,740.0,0.4037,9.541,5,0
V0_T0128,0,2024-01-20 11:30:51,2024-01-20 11:31:21,11,5,1,0.62,1.0681,2537.0,84.5667,0.0,0,0
V0_T0129,0,2024-01-20 12:10:19,2024-01-20 12:33:48,12,5,1,18.94,16.8331,2867.0,2.0348,7.58,5,0
V0_T0130,0,2024-01-20 13:09:37,2024-01-20 13:37:01,13,5,1,23.86,17.7576,2558.0,1.556,10.83,5,0
V0_T0131,0,2024-01-22 08:24:08,2024-01-22 08:33:04,8,0,0,0.0,0.0,3842.0,7.1679,0.0,0,0
V0_T0132,0,2024-01-22 08:35:30,2024-01-22 08:58:25,8,0,0,14.5,14.1868,639.0,0.4647,5.148,2,0
V0_T0133,0,2024-01-22 10:03:54,2024-01-22 10:18:54,10,0,0,16.39,13.1271,1554.0,1.7267,4.09,3,0
V0_T0134,0,2024-01-22 10:49:16,2024-01-22 10:49:24,10,0,0,0.0,0.0,1822.0,227.75,0.0,0,0
